gwasID,Bolting,log_BbLe_max
10022,1,2.48490665
6039,0,2.079441542
8329,1,3.912023005
6914,0,3.583518938
6924,0,0.693147181
6927,0,0
7298,1,2.48490665
6932,1,2.63905733
7296,1,0
6944,1,3.63758616
8310,1,2.890371758
6965,0,0
6974,0,2.944438979
7258,1,0
8314,1,2.833213344
8237,0,0
6008,1,3.526360525
6971,0,0
6968,0,0.693147181
6917,0,0
8246,0,0.693147181
7515,0,0
8234,0,1.945910149
6923,1,3.871201011
6961,0,0
6901,0,3.17805383
6243,0,2.63905733
6040,0,0
6074,0,0
8300,0,1.609437912
6915,0,0
7133,1,1.386294361
7525,0,0
7417,0,0
8389,1,1.609437912
7523,0,0
8419,1,3.871201011
6916,0,0
8388,1,1.945910149
6910,1,1.791759469
6919,0,0
6903,0,0
8222,0,0
8337,0,0
6904,0,0
6936,0,2.397895273
7521,0,0.693147181
8326,0,0
8312,1,0
7438,0,0
8259,0,0
6940,1,0
8283,0,0
7522,0,0
8351,0,0
6909,0,1.098612289
6982,1,1.098612289
6009,0,0
6900,0,0
6938,0,0
7327,0,1.791759469
6939,1,1.791759469
8311,1,0
8274,0,0
7461,0,1.098612289
6992,1,3.713572067
6945,0,0
8215,0,0
6926,1,2.079441542
6953,0,0
8247,0,0
7081,1,1.098612289
7415,1,0
6928,0,0
7524,0,0
8271,0,0
6922,1,1.791759469
7300,0,0
8378,1,3.688879454
6960,1,0.693147181
9058,0,0
6929,0,0.693147181
8334,0,1.098612289
6956,0,0
8258,0,0
8412,1,3.688879454
8366,0,1.098612289
8426,1,0
6970,0,3.091042453
6709,0,0
6906,1,0
6959,1,1.098612289
8214,0,0
8231,0,0
7015,1,3.044522438
7033,0,0
6977,0,0
6946,0,1.386294361
6951,0,0
8270,0,0.693147181
6963,1,3.761200116
7275,1,1.386294361
6987,1,0.693147181
6918,0,0
6930,1,0
6981,1,3.258096538
8422,0,0.693147181
6899,1,0
8233,0,0
8285,1,0.693147181
8424,0,1.609437912
6975,0,1.609437912
6969,0,0
8386,0,0
6978,1,2.63905733
8323,1,0.693147181
7287,0,0.693147181
9057,0,0
6979,1,0.693147181
6937,0,1.791759469
6962,1,3.583518938
8213,1,2.48490665
8304,1,3.33220451
8343,1,3.526360525
6909,1,1.098612289
6976,0,0.693147181
6920,0,0
6897,0,1.609437912
6967,1,0.693147181
8354,1,1.098612289
8256,0,0
6980,0,0
7323,1,1.791759469
8325,1,1.791759469
6043,0,3.218875825
8275,0,0
6966,0,0
8430,0,0.693147181
6958,0,0
8313,0,0.693147181
6898,1,3.713572067
6983,0,0
6972,1,3.33220451
8242,0,0
8241,0,0
6933,0,0
8306,0,0.693147181
8290,1,0.693147181
8395,0,0
7514,0,0
6943,1,1.791759469
8284,0,0
7418,1,0
5719,0,0.693147181
6931,1,1.386294361
8335,0,0.693147181
8376,0,0.693147181
8353,1,3.33220451
7186,1,2.197224577
7520,0,0
6988,0,0
7207,0,0
6984,1,1.791759469
6016,0,0
8243,0,0
7516,0,3.17805383
6911,0,3.135494216
7517,0,2.63905733
8369,0,0
6942,1,1.791759469
7413,1,3.044522438
7223,0,0
8387,1,2.944438979
6907,0,0
8230,0,2.833213344
8420,1,1.945910149
6046,0,0
8235,0,0
8365,1,2.944438979
8374,1,0
8239,1,1.098612289
6964,0,0
8244,0,2.197224577
7526,0,0
7373,1,3.17805383
6921,0,0
6985,1,1.098612289
8296,1,0
